presupuesto,genero,estreno,recaudacion,duracion,titulo,puntuacion,votos,director,
80000000,Western Animation Adventure Comedy Family,2002,122563539,83.0,Spirit: Stallion of the Cimarron,7.4,831,Kelly Asbury,
80000000,Comedy Romance Family,2011,169852759,102.0,Zookeeper,5.3,498,Frank Coraci,
80000000,Adventure Family Science Fiction,1998,136159423,130.0,Lost in Space,5.0,388,Stephen Hopkins,
80000000,Drama Thriller Mystery,2004,96105964,129.0,The Manchurian Candidate,6.2,393,Jonathan Demme,
0,Romance Drama,1998,0,117.0,D j  Vu,8.0,1,Henry Jaglom,
80000000,Animation Comedy Family,2015,473226958,89.0,Hotel Transylvania 2,6.7,1497,Genndy Tartakovsky,
80000000,Animation Family Music,1999,90874570,74.0,Fantasia 2000,7.0,292,James Algar,
80000000,Science Fiction Adventure Action,2002,123729176,96.0,The Time Machine,5.8,631,Simon Wells,
90000000,Action Adventure Family Fantasy,1998,0,114.0,Mighty Joe Young,5.9,208,Ron Underwood,
102000000,Action Crime Thriller,2001,147080413,99.0,Swordfish,6.1,932,Dominic Sena,
75000000,Action Adventure,2005,142400065,129.0,The Legend of Zorro,5.9,893,Martin Campbell,
85000000,Drama Fantasy Romance,1998,71485043,113.0,What Dreams May Come,6.8,577,Vincent Ward,
85000000,Comedy Fantasy Romance,2000,0,90.0,Little Nicky,5.2,438,Steven Brill,
88000000,Adventure Fantasy Action Comedy Thriller,2005,105316267,118.0,The Brothers Grimm,5.6,818,Terry Gilliam,
70000000,Comedy Fantasy Science Fiction,1996,101371017,106.0,Mars Attacks!,6.1,1509,Tim Burton,
0,Mystery Drama Horror,2015,0,81.0,Evolution,6.4,47,Lucile Hadzihalilovic,
0,Action Adventure Drama,1997,43312294,117.0,The Edge,6.7,349,Lee Tamahori,
80000000,Action Science Fiction Thriller,2009,122444772,89.0,Surrogates,5.9,1195,Jonathan Mostow,
80000000,Drama Thriller,2000,34566746,145.0,Thirteen Days,6.9,189,Roger Donaldson,
80000000,Action Adventure Thriller,1996,159212469,115.0,Daylight,5.8,378,Rob Cohen,
80000000,Animation Family Adventure,2013,126546518,87.0,Walking With Dinosaurs,5.2,133,Barry Cook,
44000000,Action Science Fiction War,2000,21400000,118.0,Battlefield Earth,3.0,255,Roger Christian,
80000000,Animation Comedy Family,2003,68514844,90.0,Looney Tunes: Back in Action,5.6,297,Joe Dante,
80000000,Drama Music Romance,2009,53825515,112.0,Nine,5.1,165,Rob Marshall,
80000000,Action Adventure Science Fiction,2003,19480739,116.0,Timeline,5.4,318,Richard Donner,
80000000,Drama Adventure,1997,17626234,177.0,The Postman,6.1,299,Kevin Costner,
90000000,Adventure Comedy Drama Family Fantasy,1998,69131860,92.0,Babe: Pig in the City,5.2,305,George Miller,
90000000,Fantasy Action Adventure,2015,146936910,106.0,The Last Witch Hunter,5.7,1316,Breck Eisner,
80000000,Thriller Action Science Fiction,2000,33463969,106.0,Red Planet,5.4,267,Antony Hoffman,
86000000,Adventure Fantasy Animation Family,2006,107944236,94.0,Arthur and the Invisibles,6.0,639,Luc Besson,
0,Documentary Family,2009,19406406,84.0,Oceans,7.3,111,Jacques Perrin,
80000000,Thriller Science Fiction Adventure Action,2005,5989640,110.0,A Sound of Thunder,4.8,111,Peter Hyams,
130000000,Action Adventure History Romance Drama,2014,117831631,105.0,Pompeii,5.2,1267,Paul W.S. Anderson,
8000000,Comedy Animation,2015,0,89.0,Top Cat Begins,5.3,9,Andr\u00e9s Couturier,
60000000,Drama Romance,2001,313542341,135.0,A Beautiful Mind,7.7,3009,Ron Howard,
45000000,Family Animation Drama,1994,788241776,89.0,The Lion King,8.0,5376,Roger Allers,
79000000,Adventure Action Science Fiction,2012,355692760,94.0,Journey 2: The Mysterious Island,5.8,1030,Brad Peyton,
78000000,Animation Family Comedy,2013,248384621,95.0,Cloudy with a Chance of Meatballs 2,6.4,915,Cody Cameron,
78000000,Crime Thriller Horror,2002,209196298,124.0,Red Dragon,6.7,1115,Brett Ratner,
100000000,Western Adventure,2004,108103450,136.0,Hidalgo,6.5,318,Joe Johnston,
79000000,Comedy,2011,149673788,91.0,Jack and Jill,4.1,604,Dennis Dugan,
76000000,Action Crime Thriller,2003,236350661,107.0,2 Fast 2 Furious,6.2,2028,John Singleton,
64000000,Adventure Animation Fantasy,2015,97571250,92.0,The Little Prince,7.6,756,Mark Osborne,
80000000,Science Fiction Thriller,2007,15071514,99.0,The Invasion,5.7,359,Oliver Hirschbiegel,
76000000,Action Adventure Animation Comedy Family,2000,35134820,88.0,The Adventures of Rocky & Bullwinkle,3.9,87,Des McAnuff,
75000000,Animation Family,2016,875958308,87.0,The Secret Life of Pets,5.9,3462,Chris Renaud,
78000000,Fantasy Action Thriller Science Fiction,2003,179265204,110.0,The League of Extraordinary Gentlemen,5.7,1155,Stephen Norrington,
76000000,Animation Comedy Family,2013,970761885,98.0,Despicable Me 2,7.0,4637,Pierre Coffin,
75000000,Action Adventure Science Fiction,1996,816969268,145.0,Independence Day,6.7,3260,Roland Emmerich,
73000000,Adventure Action Science Fiction,1997,229074524,129.0,The Lost World: Jurassic Park,6.2,2487,Steven Spielberg,
75000000,Family Animation,2005,532680671,86.0,Madagascar,6.6,3237,Eric Darnell,
76000000,Drama Action Thriller Science Fiction,2006,69959751,109.0,Children of Men,7.4,2071,Alfonso Cuar\u00f3n,
75000000,Adventure Action Science Fiction,2000,296339527,104.0,X-Men,6.8,4097,Bryan Singer,
75000000,Action Thriller Crime,2008,258270008,110.0,Wanted,6.4,2528,Timur Bekmambetov,
75000000,Action Adventure Thriller,1996,335062621,136.0,The Rock,6.9,1456,Michael Bay,
80000000,Animation Family Comedy Adventure,2006,660940780,91.0,Ice Age: The Meltdown,6.5,2951,Carlos Saldanha,
75000000,Comedy Romance,2004,196482882,99.0,50 First Dates,6.6,2105,Peter Segal,
50000000,Family Comedy Music Romance,2007,90450008,117.0,Hairspray,6.5,709,Adam Shankman,
80000000,Horror Mystery Thriller,2004,78000586,114.0,Exorcist: The Beginning,4.7,183,Renny Harlin,
75000000,Action Adventure Comedy Family,1999,0,78.0,Inspector Gadget,4.3,318,David Kellogg,
75000000,Thriller Crime,2013,117698894,115.0,Now You See Me,7.3,5487,Louis Leterrier,
80000000,Comedy,2010,271430189,102.0,Grown Ups,6.0,1705,Dennis Dugan,
60000000,Comedy Drama,2004,219417255,128.0,The Terminal,7.0,1910,Steven Spielberg,
35000000,Comedy Family,2009,73034460,100.0,Hotel for Dogs,5.7,202,Thor Freudenthal,
75000000,Action Adventure Thriller,2000,215663859,124.0,Vertical Limit,5.9,283,Martin Campbell,
75000000,Comedy Drama History,2007,119000410,102.0,Charlie Wilson's War,6.5,338,Mike Nichols,
75000000,Animation Action Comedy Family,2004,367275019,90.0,Shark Tale,5.8,1557,Vicky Jenson,
70000000,Drama,2006,154937680,134.0,Dreamgirls,6.6,284,Bill Condon,
53000000,Comedy Crime,2005,95226116,118.0,Be Cool,5.4,292,F. Gary Gray,
70000000,Drama Action History Thriller,2005,130358911,164.0,Munich,6.9,696,Steven Spielberg,
70000000,Action Drama War,2003,85632458,121.0,Tears of the Sun,6.4,573,Antoine Fuqua,
75000000,Action Comedy Thriller Romance,2010,98159963,100.0,Killers,5.7,772,Robert Luketic,
75000000,Comedy Action Adventure,2015,108145109,116.0,The Man from U.N.C.L.E.,7.1,2265,Guy Ritchie,
80000000,Comedy,2004,55041367,130.0,Spanglish,5.8,369,James L. Brooks,
75000000,Animation Comedy Family Fantasy,2006,140175006,91.0,Monster House,6.3,874,Gil Kenan,
75000000,Action Comedy Crime Romance,2001,67631903,123.0,Bandits,6.2,302,Barry Levinson,
55000000,Action Adventure Drama Romance,1995,127600435,134.0,First Knight,5.9,311,Jerry Zucker,
75000000,Drama History Romance,1999,0,148.0,Anna and the King,6.4,197,Andy Tennant,
75000000,Fantasy Action Drama,2011,226904017,110.0,Immortals,5.7,880,Tarsem Singh,
52000000,Mystery Drama Thriller Crime,2005,77944725,113.0,Hostage,6.2,512,Florent-Emilio Siri,
75000000,Animation Action Science Fiction Family Adventure,2000,36754634,94.0,Titan A.E.,6.3,313,Gary Goldman,
75000000,Action Adventure Comedy Thriller,2003,51142659,116.0,Hollywood Homicide,5.0,166,Ron Shelton,
75000000,Action War Science Fiction,1998,14567883,99.0,Soldier,6.1,221,Paul W.S. Anderson,
0,Action Drama Horror Science Fiction Thriller,2009,5802422,84.0,Carriers,5.8,282,\u00c0lex Pastor,
75000000,Adventure Fantasy Animation Action Comedy,2001,5409517,93.0,Monkeybone,4.3,78,Henry Selick,
45000000,Action Adventure Drama Thriller,2004,21009180,113.0,Flight of the Phoenix,5.7,276,John Moore,
75000000,Science Fiction Thriller Drama,2000,248118121,106.0,Unbreakable,6.9,1946,M. Night Shyamalan,
74000000,Family Animation Adventure Comedy,2015,1156730962,91.0,Minions,6.4,4571,Kyle Balda,
82000000,Action Fantasy Thriller,2011,89792502,110.0,Sucker Punch,5.9,1623,Zack Snyder,
73000000,Crime Mystery,1998,103891409,98.0,Snake Eyes,5.8,327,Brian De Palma,
75000000,Science Fiction,1998,13100000,134.0,Sphere,5.8,476,Barry Levinson,
73000000,Family Animation,2016,349779543,97.0,The Angry Birds Movie,5.9,1022,Fergal Reilly,
70000000,Romance Comedy Adventure,2008,111231041,112.0,Fool's Gold,5.4,444,Andy Tennant,
75000000,Comedy Drama,2009,61458982,146.0,Funny People,5.7,390,Judd Apatow,
70000000,Thriller Action Drama,2007,86658558,110.0,The Kingdom,6.5,513,Peter Berg,
72500000,Comedy,2006,162966177,116.0,Talladega Nights: The Ballad of Ricky Bobby,6.2,491,Adam McKay,
70000000,Comedy Family Romance Fantasy,2001,176104344,87.0,Dr. Dolittle 2,4.9,410,Steve Carr,
72000000,Action Drama History War,1995,210000000,177.0,Braveheart,7.7,3336,Mel Gibson,
72000000,Drama War,2005,96889998,125.0,Jarhead,6.6,765,Sam Mendes,
75000000,Animation Comedy Family,2007,527068851,87.0,The Simpsons Movie,6.9,2264,David Silverman,
72000000,Drama Romance,2001,37317558,152.0,The Majestic,6.6,188,Frank Darabont,
94000000,Action,2001,54744738,116.0,Driven,4.5,179,Renny Harlin,
74500000,Adventure Drama Family,2004,62172050,109.0,Two Brothers,6.9,180,Jean-Jacques Annaud,
60000000,Drama Mystery Thriller,2004,256697520,108.0,The Village,6.2,1071,M. Night Shyamalan,
71000000,Comedy Family Fantasy,1998,294456605,85.0,Doctor Dolittle,5.4,686,Betty Thomas,
72000000,Drama Thriller Science Fiction Mystery,2002,408247917,106.0,Signs,6.4,1599,M. Night Shyamalan,
150000000,Adventure Animation Comedy Family Fantasy,2004,919838758,93.0,Shrek 2,6.7,2988,Andrew Adamson,
120000000,Animation Adventure Comedy Family,2006,461983149,117.0,Cars,6.6,3877,John Lasseter,
70000000,Comedy Romance,1999,309457509,116.0,Runaway Bride,5.7,455,Garry Marshall,
70000000,Action Adventure Thriller,2002,277448382,124.0,xXx,5.8,1424,Rob Cohen,
74000000,Animation Adventure Comedy Family,2015,311594032,93.0,The SpongeBob Movie: Sponge Out of Water,5.8,719,Paul Tibbitt,
80000000,Action Thriller,1996,309492681,117.0,Ransom,6.4,470,Ron Howard,
70000000,Drama Action Thriller War,2009,319131050,153.0,Inglourious Basterds,7.9,6430,Quentin Tarantino,
70000000,Adventure Fantasy Comedy Family,1991,300854823,144.0,Hook,6.6,1532,Steven Spielberg,
70000000,Action Thriller,1990,240031094,124.0,Die Hard 2,6.6,1896,Renny Harlin,
80000000,Action Thriller Crime,2003,116643346,117.0,S.W.A.T.,5.8,770,Clark Johnson,
68000000,Drama Mystery Romance Science Fiction Thriller,2001,203388341,136.0,Vanilla Sky,6.5,1078,Cameron Crowe,
75000000,Drama Thriller Fantasy Mystery,2006,42285169,110.0,Lady in the Water,5.3,409,M. Night Shyamalan,
70000000,Adventure Science Fiction Action,2004,171183863,101.0,AVP: Alien vs. Predator,5.5,1217,Paul W.S. Anderson,
75000000,Comedy Family Animation Fantasy Music,2009,443140005,88.0,Alvin and the Chipmunks: The Squeakquel,5.4,666,Betty Thomas,
75000000,Action History War,2002,114660784,138.0,We Were Soldiers,6.7,521,Randall Wallace,
70000000,Action Thriller,2013,161025640,120.0,Olympus Has Fallen,6.2,2981,Antoine Fuqua,
70000000,Science Fiction Action Adventure Thriller,1998,118000000,103.0,Star Trek: Insurrection,6.3,391,Jonathan Frakes,
70000000,Action Science Fiction,2011,202466756,116.0,Battle: Los Angeles,5.5,1448,Jonathan Liebesman,
70000000,Adventure Fantasy Drama,2003,122919055,125.0,Big Fish,7.6,1994,Tim Burton,
0,Fantasy,1994,0,125.0,Wolf,6.0,216,Mike Nichols,
66000000,Drama War,2011,177584879,146.0,War Horse,7.0,992,Steven Spielberg,
70000000,War Drama History Action,2014,154984035,118.0,The Monuments Men,5.8,1523,George Clooney,
70000000,Adventure Action Thriller Science Fiction,1989,90000098,139.0,The Abyss,7.1,808,James Cameron,
70000000,Drama Crime,2010,134748021,133.0,Wall Street: Money Never Sleeps,5.8,493,Oliver Stone,
70000000,Horror Action Drama Fantasy War,2014,215529201,92.0,Dracula Untold,6.2,2389,Gary Shore,
70000000,Drama Action Thriller Crime,1998,116672912,116.0,The Siege,6.0,352,Edward Zwick,
70000000,Adventure Fantasy Romance Family,2007,135560026,127.0,Stardust,7.1,1184,Matthew Vaughn,
70000000,Adventure Drama History,1997,131457682,136.0,Seven Years in Tibet,7.0,630,Jean-Jacques Annaud,
70000000,Comedy Drama,2011,67112664,111.0,The Dilemma,5.2,304,Ron Howard,
70000000,Action Adventure Comedy Thriller,2002,65977295,116.0,Bad Company,5.4,228,Joel Schumacher,
60000000,Adventure Action Horror,2005,55987321,105.0,Doom,5.0,609,Andrzej Bartkowiak,
70000000,Action Adventure Comedy Thriller,2002,33561137,97.0,I Spy,5.2,269,Betty Thomas,
70000000,Fantasy Action Horror,2012,160112671,88.0,Underworld: Awakening,6.1,1862,M\u00e5ns M\u00e5rlind,
75000000,Comedy Drama Music Romance,2012,59418613,123.0,Rock of Ages,6.0,385,Adam Shankman,
70000000,Drama War,2002,32287044,125.0,Hart's War,5.9,241,Gregory Hoblit,
66000000,Action Adventure Thriller,2011,57777106,116.0,Killer Elite,6.1,695,Gary McKendry,
0,Action Science Fiction Thriller,2002,0,98.0,Rollerball,3.4,106,John McTiernan,
70000000,Action Adventure Thriller,2002,19924033,91.0,Ballistic: Ecks vs. Sever,4.3,97,Wych Kaosayananda,
70000000,Thriller,1998,19870567,97.0,Hard Rain,5.5,179,Mikael Salomon,
75000000,Adventure Animation Action Comedy Family,2001,13596911,95.0,Osmosis Jones,5.9,228,Bobby Farrelly,
70000000,Animation Music Family,2013,18662027,88.0,Legends of Oz: Dorothy's Return,5.9,43,Dan St. Pierre,
70000000,Crime Drama Mystery,2015,17752940,133.0,Blackhat,5.1,826,Michael Mann,
70000000,Mystery Action Thriller Science Fiction Adventure,2004,57958696,107.0,Sky Captain and the World of Tomorrow,5.7,439,Kerry Conran,
70000000,Crime Mystery Thriller,2006,38629478,114.0,Basic Instinct 2,4.6,180,Michael Caton-Jones,
50000000,Action Thriller,2013,122915111,115.0,Escape Plan,6.7,1659,Mikael H\u00e5fstr\u00f6m,
70000000,Action Adventure,2014,61279452,99.0,The Legend of Hercules,4.4,533,Renny Harlin,
68000000,Thriller Action Drama,2002,193000000,124.0,The Sum of All Fears,5.9,437,Phil Alden Robinson,
68000000,Adventure Fantasy Drama Romance,2010,698491347,124.0,The Twilight Saga: Eclipse,5.8,2301,David Slade,
68000000,Action Crime Thriller,2001,71069884,124.0,The Score,6.7,423,Frank Oz,
69000000,Animation Family,2010,543513985,95.0,Despicable Me,7.1,6478,Pierre Coffin,
60000000,Action Comedy Crime,1995,35431113,103.0,Money Train,5.4,222,Joseph Ruben,
68000000,Comedy,2015,217022588,115.0,Ted 2,6.2,2463,Seth MacFarlane,
70000000,Adventure Drama History,2009,39041505,127.0,Agora,6.9,395,Alejandro Amen\u00e1bar,
68000000,Adventure Fantasy Action Comedy Science Fiction,1999,29762011,121.0,Mystery Men,5.7,250,Kinka Usher,
36000000,Comedy,2011,83160734,105.0,Hall Pass,5.4,611,Bobby Farrelly,
90000000,Drama Thriller,1999,60289912,157.0,The Insider,7.3,481,Michael Mann,
80000000,Action Drama History Thriller,2016,52099090,114.0,The Finest Hours,6.3,588,Craig Gillespie,
70000000,Action Drama Thriller,2008,113280098,128.0,Body of Lies,6.5,895,Ridley Scott,
69000000,Comedy,2010,86387857,114.0,Dinner for Schmucks,5.5,531,Jay Roach,
69000000,Action Fantasy Horror,2012,112265139,94.0,Abraham Lincoln: Vampire Hunter,5.5,1269,Timur Bekmambetov,
66000000,Romance Drama Mystery,1999,212404396,112.0,Entrapment,6.0,602,Jon Amiel,
66000000,Mystery Science Fiction Thriller,1998,189198313,121.0,The X Files,6.6,488,Rob Bowman,
67000000,Action Adventure Fantasy War,2007,25303038,102.0,The Last Legion,5.0,207,Doug Lefler,
70000000,Drama History War,1998,481840909,169.0,Saving Private Ryan,7.9,5048,Steven Spielberg,
66000000,Action Crime Drama Thriller,2014,203277636,130.0,Need for Speed,6.1,1520,Scott Waugh,
70000000,Comedy Romance,2000,374111707,127.0,What Women Want,6.1,992,Nancy Meyers,
59000000,Animation Comedy Family Adventure,2002,383257136,81.0,Ice Age,7.1,3857,Chris Wedge,
68000000,Drama Horror Science Fiction Thriller,2003,75715436,136.0,Dreamcatcher,5.3,567,Lawrence Kasdan,
65000000,History Drama,2012,275293450,149.0,Lincoln,6.7,1429,Steven Spielberg,
63000000,Action Science Fiction,1999,463517383,136.0,The Matrix,7.9,8907,Lilly Wachowski,
52000000,Drama,1995,355237933,140.0,Apollo 13,7.3,1599,Ron Howard,
65000000,Fantasy Comedy Family,2002,172855065,104.0,The Santa Clause 2,5.5,297,Michael Lembeck,
61000000,Drama Music Romance,2012,441809770,157.0,Les Mis rables,7.1,1884,Tom Hooper,
65000000,Comedy Romance,1998,250821495,119.0,You've Got Mail,6.3,838,Nora Ephron,
65000000,Comedy,2008,128107642,98.0,Step Brothers,6.5,1062,Adam McKay,
95000000,Action Adventure,1998,250288523,136.0,The Mask of Zorro,6.3,1183,Martin Campbell,
65000000,Comedy Drama,2010,211780824,95.0,Due Date,6.2,1685,Todd Phillips,
65000000,Drama War,2014,163442937,137.0,Unbroken,7.3,1400,Angelina Jolie,
65000000,Action Adventure Thriller,2000,128884132,130.0,Space Cowboys,6.3,403,Clint Eastwood,
70000000,Action Adventure Thriller,1993,255000211,112.0,Cliffhanger,6.1,588,Renny Harlin,
50000000,Action Adventure Drama Thriller,1996,150270147,108.0,Broken Arrow,5.7,453,John Woo,
65000000,Fantasy Comedy Family,2000,69700000,104.0,The Kid,6.0,238,Jon Turteltaub,
63000000,Drama History Thriller,2006,162945894,128.0,World Trade Center,5.9,447,Oliver Stone,
65000000,Drama Romance,2003,0,117.0,Mona Lisa Smile,6.5,393,Mike Newell,
65000000,Comedy,2012,179379533,83.0,The Dictator,5.9,1743,Larry Charles,
65000000,Mystery Drama,1999,162091208,159.0,Eyes Wide Shut,7.1,1234,Stanley Kubrick,
65000000,Comedy Drama Family,2014,133821816,119.0,Annie,6.0,466,Will Gluck,
50100000,Romance Comedy Crime Drama,2015,153962963,105.0,Focus,6.7,2542,Glenn Ficarra,
65000000,Action Comedy Romance,2012,156974557,103.0,This Means War,5.9,1389,McG,
65000000,Science Fiction Action Horror Thriller Adventure,2004,128905366,123.0,Blade: Trinity,5.7,1252,David S. Goyer,
4200000,Action Thriller,1984,38376497,114.0,Red Dawn,6.4,215,John Milius,
65000000,Comedy Drama,1998,0,143.0,Primary Colors,6.1,94,Mike Nichols,
65000000,Action Horror Science Fiction,2012,240159255,95.0,Resident Evil: Retribution,5.6,1600,Paul W.S. Anderson,
45000000,Action Thriller Science Fiction,2008,73762516,105.0,Death Race,6.0,1175,Paul W.S. Anderson,
65000000,Crime Action Mystery Thriller,1996,89456761,120.0,The Long Kiss Goodnight,6.5,314,Renny Harlin,
65000000,Action Adventure Drama Romance Thriller,2000,0,135.0,Proof of Life,6.0,208,Taylor Hackford,
65000000,Family Fantasy Science Fiction Adventure,2005,64321501,101.0,Zathura: A Space Adventure,6.1,779,Jon Favreau,
63000000,Drama,1999,100853753,139.0,Fight Club,8.3,9413,David Fincher,
65000000,Drama,2006,43545364,124.0,We Are Marshall,6.7,186,McG,
65000000,Action Adventure Comedy,1991,17218080,100.0,Hudson Hawk,5.4,269,Michael Lehmann,
65000000,Action Adventure Comedy Crime Romance,2000,0,105.0,Lucky Numbers,4.9,52,Nora Ephron,
65000000,Horror Thriller,2014,71154592,92.0,"I, Frankenstein",5.0,687,Stuart Beattie,
50000000,Crime Drama Family,2005,42093706,130.0,Oliver Twist,6.7,274,Roman Polanski,
43000000,Action Fantasy,2005,56681566,97.0,Elektra,4.8,575,Rob Bowman,
65000000,Crime Thriller,2014,39407616,102.0,Sin City: A Dame to Kill For,6.3,1286,Robert Rodriguez,
55000000,Adventure Drama,2015,203427584,121.0,Everest,6.7,1772,Baltasar Korm\u00e1kur,
50000000,Crime Fantasy Drama,2006,132180323,147.0,Perfume: The Story of a Murderer,7.1,1165,Tom Tykwer,
63000000,Comedy Crime Science Fiction,2002,296655431,94.0,Austin Powers in Goldmember,5.9,979,Jay Roach,
65000000,Animation Action Family Science Fiction,2009,44091067,94.0,Astro Boy,6.1,409,David Bowers,
63000000,Adventure Science Fiction,1993,920100000,127.0,Jurassic Park,7.6,4856,Steven Spielberg,
63000000,Drama Action Western,1994,25052000,191.0,Wyatt Earp,6.5,202,Lawrence Kasdan,
62000000,Action Drama Thriller,1994,215887717,141.0,Clear and Present Danger,6.4,386,Phillip Noyce,
65000000,Action Drama Adventure,2015,121545703,127.0,Dragon Blade,5.9,145,Daniel Lee,
64000000,Comedy Crime,2006,101595121,98.0,Little Man,5.3,261,Keenen Ivory Wayans,
62000000,Action Drama Thriller War,2000,127666415,116.0,U-571,6.1,340,Jonathan Mostow,
62000000,Comedy Drama Romance,1995,107879496,106.0,The American President,6.5,195,Rob Reiner,
62000000,Comedy Romance,2008,41819064,87.0,The Love Guru,4.3,242,Marco Schnabel,
62000000,Action Adventure Comedy Thriller Crime,2001,18720175,125.0,3000 Miles to Graceland,5.8,178,Demian Lichtenstein,
44000000,Crime Drama Mystery Western,2015,155760117,167.0,The Hateful Eight,7.6,4274,Quentin Tarantino,
53000000,Action Comedy Drama,2007,0,93.0,Blades of Glory,5.9,569,Josh Gordon,
63000000,Animation Comedy Family,2011,183953723,95.0,Hop,5.5,331,Tim Hill,
65000000,Action Adventure War,2006,422610419,117.0,300,7.0,4997,Zack Snyder,
80000000,Comedy Romance,2004,516642939,115.0,Meet the Fockers,6.1,1373,Jay Roach,
60000000,Comedy Family,2008,244082376,115.0,Marley & Me,6.9,1343,David Frankel,
60000000,Fantasy Drama Crime,1999,284600000,189.0,The Green Mile,8.2,4048,Frank Darabont,
0,Action Adventure Comedy,2007,253625427,100.0,Wild Hogs,5.6,648,Walt Becker,
150000000,Animation Family Comedy,2005,314432665,81.0,Chicken Little,5.6,944,Mark Dindal,
61000000,Mystery Thriller Drama,2014,369330363,145.0,Gone Girl,7.9,5862,David Fincher,
60000000,Action Drama Mystery Thriller,2002,214034224,119.0,The Bourne Identity,7.3,3583,Doug Liman,
58000000,Adventure Action Thriller,1995,352194034,130.0,GoldenEye,6.6,1174,Martin Campbell,
60000000,Crime Drama Mystery Thriller,1999,149705852,116.0,The General's Daughter,6.1,205,Simon West,
60000000,Comedy Drama,1998,264118201,103.0,The Truman Show,7.8,4537,Peter Weir,
70000000,Adventure Animation Drama Family Music,1998,218613188,99.0,The Prince of Egypt,6.8,817,Simon Wells,
60000000,Comedy Family,2003,164433867,92.0,Daddy Day Care,5.6,506,Steve Carr,
61000000,Action Comedy Crime,2013,131940411,109.0,2 Guns,6.6,1589,Baltasar Korm\u00e1kur,
60000000,Comedy Family,2001,93375151,87.0,Cats & Dogs,5.0,352,Lawrence Guterman,
60000000,Action Crime,2003,176070171,110.0,The Italian Job,6.6,1919,F. Gary Gray,
60000000,Romance Comedy,2002,93354918,101.0,Two Weeks Notice,5.9,487,Marc Lawrence,
60000000,Adventure Animation Comedy Family,1998,171757863,83.0,Antz,6.0,1272,Eric Darnell,
70000000,Comedy Romance,2009,171844840,113.0,Couples Retreat,5.3,588,Peter Billingsley,
60000000,Adventure,1990,157920733,107.0,Days of Thunder,5.9,353,Tony Scott,
60000000,Comedy,2005,129181830,94.0,Cheaper by the Dozen 2,5.7,526,Adam Shankman,
61000000,Action,2015,311256926,132.0,Maze Runner: The Scorch Trials,6.4,3040,Wes Ball,
60000000,Drama,2010,204594016,133.0,Eat Pray Love,5.8,636,Ryan Murphy,
60000000,Comedy Drama Romance Fantasy,2000,0,125.0,The Family Man,6.5,521,Brett Ratner,
58000000,Action Adventure Comedy Crime Thriller,2010,71664962,111.0,RED,6.6,2808,Robert Schwentke,
55000000,Drama,1999,100230832,163.0,Any Given Sunday,6.8,422,Oliver Stone,
60000000,Drama Romance,1998,186883563,170.0,The Horse Whisperer,6.7,292,Robert Redford,
65000000,Drama Crime Thriller,2004,217764291,120.0,Collateral,7.0,1451,Michael Mann,
60000000,Action Fantasy Adventure,2002,165333180,92.0,The Scorpion King,5.3,779,Chuck Russell,
60000000,Drama Action Thriller,2004,74541707,115.0,Ladder 49,6.2,207,Jay Russell,
60000000,Crime Drama Thriller,2012,218340595,130.0,Jack Reacher,6.3,2998,Christopher McQuarrie,
60000000,Action Science Fiction Thriller,1999,73648228,105.0,Deep Blue Sea,5.6,604,Renny Harlin,
60000000,Music Documentary,2009,0,111.0,This Is It,6.7,247,Kenny Ortega,
60000000,Drama Thriller Science Fiction,2011,137551594,106.0,Contagion,6.2,1325,Steven Soderbergh,
0,Comedy Adventure Crime,2003,0,89.0,Kangaroo Jack,4.3,203,David McNally,
60000000,Animation Family,2009,124596398,100.0,Coraline,7.3,1386,Henry Selick,
60000000,Thriller Science Fiction,2008,163403799,91.0,The Happening,4.9,950,M. Night Shyamalan,
70000000,Action Drama Thriller Crime,2004,130293714,146.0,Man on Fire,7.3,1553,Tony Scott,
50000000,Comedy Family,2006,61112916,98.0,The Shaggy Dog,4.5,137,Brian Robbins,
60000000,Comedy Crime,2004,170268750,101.0,Starsky & Hutch,5.6,644,Todd Phillips,
60000000,Family Comedy,1996,129832389,89.0,Jingle All the Way,5.5,575,Brian Levant,
66000000,Fantasy Action Science Fiction,2004,99318987,122.0,Hellboy,6.5,2225,Guillermo del Toro,
70000000,Drama,1998,56702901,115.0,A Civil Action,6.1,109,Steven Zaillian,
60000000,Family Animation Adventure Comedy,2012,107139399,90.0,ParaNorman,6.7,789,Sam Fell,
60000000,Action Thriller Adventure Crime,1997,159330280,124.0,The Jackal,6.1,527,Michael Caton-Jones,
60000000,Action Adventure Mystery Science Fiction Thriller,2003,96269812,119.0,Paycheck,5.9,581,John Woo,
60000000,Drama Romance,1996,0,119.0,Up Close & Personal,5.9,50,Jon Avnet,
60000000,Adventure Animation Family,2008,50877145,93.0,The Tale of Despereaux,5.8,258,Robert Stevenhagen,
0,Thriller Action Comedy Science Fiction,2002,0,98.0,The Tuxedo,5.3,483,Kevin Donovan,
60000000,Action Thriller,1995,104324083,100.0,Under Siege 2: Dark Territory,5.6,210,Geoff Murphy,
60000000,Action Drama Thriller,2014,50549107,105.0,Jack Ryan: Shadow Recruit,5.9,1173,Kenneth Branagh,
60000000,Drama Comedy,2015,101134059,124.0,Joy,6.4,1581,David O. Russell,
60000000,Action Crime Thriller,2016,205754447,99.0,London Has Fallen,5.8,1621,Babak Najafi,
